slide	subclass	layer	true_region_num	true_file_count	random_sample_n	true_gt_random_count	true_gt_random_ratio	perm_p_value_one_sided
C57BL6J-1.036	007 L2/3 IT CTX Glut	layer 1	3.000000	1	500	14	0.028000	0.972056
C57BL6J-1.036	007 L2/3 IT CTX Glut	layer 2/3	1.000000	1	500	0	0.000000	1
C57BL6J-1.036	007 L2/3 IT CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.036	010 IT AON-TT-DP Glut	layer 1	1.000000	1	482	0	0.000000	1
C57BL6J-1.036	010 IT AON-TT-DP Glut	layer 2/3	1.000000	1	448	0	0.000000	1
C57BL6J-1.036	022 L5 ET CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.036	029 L6b CTX Glut	layer 5	1.000000	1	458	0	0.000000	1
C57BL6J-1.036	030 L6 CT CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.036	030 L6 CT CTX Glut	layer 6a	1.000000	1	366	0	0.000000	1
C57BL6J-1.036	031 CT SUB Glut	layer 5	1.000000	1	488	0	0.000000	1
C57BL6J-1.036	032 L5 NP CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.036	036 HPF CR Glut	layer 1	1.000000	1	485	0	0.000000	1
C57BL6J-1.036	046 Vip Gaba	layer 1	3.000000	1	500	117	0.234000	0.766467
C57BL6J-1.036	046 Vip Gaba	layer 2/3	2.000000	1	500	4	0.008000	0.992016
C57BL6J-1.036	046 Vip Gaba	layer 5	2.000000	1	499	56	0.112224	0.888
C57BL6J-1.036	047 Sncg Gaba	layer 1	2.000000	1	499	59	0.118236	0.882
C57BL6J-1.036	047 Sncg Gaba	layer 2/3	3.000000	1	499	185	0.370741	0.63
C57BL6J-1.036	047 Sncg Gaba	layer 5	1.000000	1	456	0	0.000000	1
C57BL6J-1.036	049 Lamp5 Gaba	layer 1	2.000000	1	500	9	0.018000	0.982036
C57BL6J-1.036	049 Lamp5 Gaba	layer 2/3	3.000000	1	500	50	0.100000	0.9002
C57BL6J-1.036	049 Lamp5 Gaba	layer 5	2.000000	1	499	63	0.126253	0.874
C57BL6J-1.036	049 Lamp5 Gaba	layer 6a	1.000000	1	91	0	0.000000	1
C57BL6J-1.036	051 Pvalb chandelier Gaba	layer 1	2.000000	1	486	143	0.294239	0.706366
C57BL6J-1.036	051 Pvalb chandelier Gaba	layer 2/3	3.000000	1	498	238	0.477912	0.523046
C57BL6J-1.036	052 Pvalb Gaba	layer 1	1.000000	1	467	0	0.000000	1
C57BL6J-1.036	052 Pvalb Gaba	layer 2/3	2.000000	1	500	4	0.008000	0.992016
C57BL6J-1.036	052 Pvalb Gaba	layer 5	3.000000	1	500	138	0.276000	0.724551
C57BL6J-1.036	052 Pvalb Gaba	layer 6a	1.000000	1	290	0	0.000000	1
C57BL6J-1.036	053 Sst Gaba	layer 1	4.000000	1	499	433	0.867735	0.134
C57BL6J-1.036	053 Sst Gaba	layer 2/3	3.000000	1	500	48	0.096000	0.904192
C57BL6J-1.036	053 Sst Gaba	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.036	053 Sst Gaba	layer 6a	1.000000	1	257	0	0.000000	1
C57BL6J-1.036	056 Sst Chodl Gaba	layer 5	1.000000	1	413	0	0.000000	1
C57BL6J-1.036	101 ZI Pax6 Gaba	layer 1	1.000000	1	482	0	0.000000	1
C57BL6J-1.036	113 MEA-COA-BMA Ccdc42 Glut	layer 5	1.000000	1	478	0	0.000000	1
C57BL6J-1.036	318 Astro-NT NN	layer 2/3	1.000000	1	439	0	0.000000	1
C57BL6J-1.036	319 Astro-TE NN	layer 1	4.000000	1	500	100	0.200000	0.800399
C57BL6J-1.036	319 Astro-TE NN	layer 2/3	5.000000	1	500	228	0.456000	0.54491
C57BL6J-1.036	319 Astro-TE NN	layer 5	6.000000	1	500	456	0.912000	0.0898204
C57BL6J-1.036	319 Astro-TE NN	layer 6a	1.000000	1	337	0	0.000000	1
C57BL6J-1.036	326 OPC NN	layer 1	4.000000	1	500	250	0.500000	0.500998
C57BL6J-1.036	326 OPC NN	layer 2/3	3.000000	1	500	66	0.132000	0.868263
C57BL6J-1.036	326 OPC NN	layer 5	3.000000	1	500	146	0.292000	0.708583
C57BL6J-1.036	326 OPC NN	layer 6a	1.000000	1	294	0	0.000000	1
C57BL6J-1.036	327 Oligo NN	layer 1	4.000000	1	500	327	0.654000	0.347305
C57BL6J-1.036	327 Oligo NN	layer 2/3	3.000000	1	500	48	0.096000	0.904192
C57BL6J-1.036	327 Oligo NN	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.036	327 Oligo NN	layer 6a	1.000000	1	334	0	0.000000	1
C57BL6J-1.036	329 ABC NN	layer 1	2.000000	1	498	41	0.082329	0.917836
C57BL6J-1.036	330 VLMC NN	layer 1	1.000000	1	500	0	0.000000	1
C57BL6J-1.036	330 VLMC NN	layer 2/3	5.000000	1	498	485	0.973896	0.0280561
C57BL6J-1.036	330 VLMC NN	layer 5	1.000000	1	455	0	0.000000	1
C57BL6J-1.036	331 Peri NN	layer 1	3.000000	1	500	84	0.168000	0.832335
C57BL6J-1.036	331 Peri NN	layer 2/3	2.000000	1	500	6	0.012000	0.988024
C57BL6J-1.036	331 Peri NN	layer 5	3.000000	1	500	126	0.252000	0.748503
C57BL6J-1.036	332 SMC NN	layer 1	2.000000	1	499	26	0.052104	0.948
C57BL6J-1.036	332 SMC NN	layer 2/3	3.000000	1	500	171	0.342000	0.658683
C57BL6J-1.036	332 SMC NN	layer 5	2.000000	1	485	169	0.348454	0.652263
C57BL6J-1.036	333 Endo NN	layer 1	7.000000	1	500	477	0.954000	0.0479042
C57BL6J-1.036	333 Endo NN	layer 2/3	5.000000	1	500	190	0.380000	0.620758
C57BL6J-1.036	333 Endo NN	layer 5	4.000000	1	500	240	0.480000	0.520958
C57BL6J-1.036	333 Endo NN	layer 6a	1.000000	1	346	0	0.000000	1
C57BL6J-1.036	334 Microglia NN	layer 1	3.000000	1	500	57	0.114000	0.886228
C57BL6J-1.036	334 Microglia NN	layer 2/3	8.000000	1	500	498	0.996000	0.00598802
C57BL6J-1.036	334 Microglia NN	layer 5	4.000000	1	500	258	0.516000	0.48503
C57BL6J-1.036	334 Microglia NN	layer 6a	1.000000	1	291	0	0.000000	1
C57BL6J-1.036	335 BAM NN	layer 1	3.000000	1	498	287	0.576305	0.42485
C57BL6J-1.036	335 BAM NN	layer 2/3	2.000000	1	480	194	0.404167	0.596674
C57BL6J-1.036	335 BAM NN	layer 5	1.000000	1	481	0	0.000000	1
